id,"name","department","alias","symptom","bodypart","prone_group","related_ill","definition","etiology","clinical_feature",search_index
11,"小儿韦格纳肉芽肿","儿科","小儿面中线肉芽肿","运动失调,鼻塞,瘀斑,胸痛,气短,鼻黏膜溃疡,鞍鼻,眼睑下垂,感觉障碍","腹部","暂无","小儿肺出血-肾,小儿结节性多动,小儿干燥综合征,小儿白塞病,咯血,咳嗽,鼻中隔穿孔,小儿系统性红斑,小儿播散性脂肪","韦格纳肉芽肿Wegenersgranulomatosis，WG是一种以上、下呼吸道坏死性、肉芽肿性血管炎，肾小球肾炎和其他器官的血管炎为主要特征的全身系统性疾病。病变累及小动脉、静脉及毛细血管。临床上常表现为鼻和鼻窦炎、肺病变及进行性肾功能衰竭。",NULL,NULL,0
12,"婴儿肢端脓疱病","皮肤科","no","脓疱,瘙痒,水疱或大疱损害","臀部","暂无","疥疮,掌跖脓疱病,新生儿暂时性脓,水疱性远端指炎,角层下脓疱性皮","婴儿肢端脓疱病本病1979年报道，是一种罕见瘙痒性水疱脓疱疾病，主要发生于掌跖部位，黑人的新生儿和婴儿多见，损害主要位于手足的背侧。",NULL,NULL,0
13,"肛裂","肛肠科","no","脓血便,便血,便秘,肛管狭窄,疲劳,坐立不安,排粪时肛门灼痛,肛门瘙痒,肛门疼痛,肛裂溃疡","臀部","暂无","便血,痈,外痔,内痔,大肠癌,肛裂,乙状结肠间疝,肛门周围癌,下消化道出血,溃疡性结肠炎","肛裂是齿状线以下肛管皮肤全层的小溃疡。其方向与肛管纵轴平行，长约0.5～1.0cm，呈梭形或椭圆形，愈合困难，是中青年人产生肛管处剧痛的常见原因。而肛管浅表裂伤不能视为肛裂，因其能很快自愈，且常无症状。肛裂好发于肛管后中处，若肛管侧方有肛裂，或有多个裂口，",NULL,NULL,3130
14,"小棘苔藓","皮肤科","no","丘疹,毛孔角化过度","臀部","暂无","萎缩性毛周角化,皮肤纤毛囊肿,毛囊周角化病,毛囊周围纤维瘤","小棘苔藓是以针尖大小的毛囊性角化丘疹，顶端有一角质丝棘突为特征的皮肤病。认为与维生素A缺乏有关，也有认为系毛发苔藓毛周角化的变异型。",NULL,NULL,0
15,"肾动脉粥样栓塞","心血管内科、肾内科","no","肾动脉硬化,肾动脉阻塞","腰部","暂无","血尿,间质性肾炎,高血压肾病,肾动静脉瘘,局灶性节段性肾,高钙血症肾病,肾动脉闭塞,血管炎,肾结核,高血压","肾动脉粥样硬化肾动脉粥样栓塞一种临床综合征，包括根据阻塞肾小动脉粥样物质的量肾功能快速或缓慢减退。肾栓塞发病率随年龄而增长。最重要的非心源性肾栓子是破裂的主动脉粥样斑块。肾动脉粥样栓塞可于弥漫性侵袭性动脉粥样硬化时自发出现或继发于血管外科手术，血管成形术或",NULL,NULL,0
16,"老年人前列腺增生症","泌尿外科","老年前列腺增生症","膀胱刺激征,剧烈疼痛,充血,食欲不振,夜尿增多,糖尿,膀胱排空不全,急性尿潴留,逼尿肌不稳定,尿急","腹部","暂无","膀胱结石,中老年男子部分,高血压","前列腺增生症：即良性前列腺增生benignprostatichyperplasia，BPH的简称，也有称良性前列腺肥大。但从病理学角度上说，细胞增多为增生，细胞增大为肥大。前列腺增生症病理学证实是细",NULL,NULL,0
17,"急性胆源性胰腺炎","肝胆外科","急性胆汁性胰腺炎","腹痛,腹胀,黄疸,移动性浊音,急性腹痛,腹肌紧张,腹部压痛,恶心与呕吐,面色苍白,表情淡漠","腹部","暂无","上消化道出血,急性胆源性胰腺,急性胆囊炎,腹痛,腹胀,黄疸,肠梗阻,阑尾炎,休克","胆道结石、炎症等可引起胰管梗阻，胰黏膜屏障损害，胰液外溢，胰腺组织自我消化，形成急性胆源性胰腺炎acutebiliarypancreatitis，ABP。",NULL,NULL,0
18,"肠炎","消化内科","no","呕吐,水样便,腹痛伴腹泻,腹痛伴恶心、呕,粪便脓血,恶心与呕吐,恶心","腹部","暂无","轮状病毒性肠炎,假膜性肠炎,急性出血性坏死,急性胃肠炎,结肠炎","肠炎是细菌、病毒、真菌和寄生虫等引起的胃肠炎、小肠炎和结肠炎。临床表现有恶心、呕吐、腹痛、腹泻、稀水便或粘液脓血便。部分病人可有发热及里急后重感觉，故亦称感染性腹泻。肠炎按病程长短不同，分为急性和慢性两类。",NULL,NULL,2817
19,"神经性肠梗阻综合症","消化内科","痉挛性肠梗阻","便秘,腹胀,呕吐,阵发性肠绞痛,停止排气,气过水声,腹痛伴恶心、呕,腹肌紧张,腹膜刺激征,粪样呕吐物","腹部","暂无","痉挛性肠梗阻,肠扭转,腹膜炎,肠套叠,腹痛,腹胀,肠结核,肠梗阻,便秘","神经性肠梗阻综合征又称谢尔舍米斯基病,由苏联医师谢尔舍米斯基首先描述而命名，其他名称包括痉挛性肠梗阻、功能性肠梗阻、动力性肠梗阻等。神经性肠梗阻可分为麻痹性和痉挛性。麻痹性肠梗阻是由于肠壁肌肉运动受抑制而失去蠕动能力，肠腔内容物不能向下运行，见于急性弥漫性",NULL,NULL,0
20,"下消","肾内科、中医科","no","多尿,多饮,烦渴多饮,消瘦,乏力","腹部","暂无","糖尿病","下消，内科消渴病之一。《圣济总录》称消肾，《医学纲目》称肾消。症见面黑耳焦，饮一溲二，溲似淋浊，如膏如油等。多由肾水亏竭，蒸化失常所致。",NULL,NULL,0
21,"结肠扭转","消化内科","no","便秘,腹胀,呕吐,粪便嵌塞,结肠血管发育不,腹痛伴恶心、呕,粪样呕吐物,恶心,肠鸣","腹部","暂无","继发性化脓性腹,腹膜炎,肠套叠,腹胀,肠梗阻,盆腔脓肿,便秘","结肠扭转系指结肠发育异常，如移动结肠，横结肠过长及乙状结肠冗长所引起的一切工作段肠袢沿其系膜长轴旋转而造成的闭袢性肠梗阻。结肠扭转以乙状结肠扭转多见，并且以老年男性较多。盲肠扭转较少见，可发生在任何年龄，以20～40岁发病率较高。横结肠扭转如非粘连引起者，",NULL,NULL,1
22,"暴痢","消化内科、感染科","急性细菌性痢疾","腹泻,腹痛,昏迷,高热,低氧血症,发绀,痢疾,里急后重,恶心,呼吸困难","腹部","暂无","腹痛,腹胀,流行性乙型脑炎,结肠癌,Reiter综,弯曲菌肠炎,溃疡性结肠炎,腹泻,尿道炎","痢疾是指以腹痛、里急后重，下痢赤白脓血为特征的病证。痢疾一名，见于《济生方》，《内经》称“肠澼”。暴痢则是指因饮食不洁、外感湿热疫毒而引起的以起病急骤、高热、腹痛下痢为主要症状的痢疾，好发于夏秋之际。",NULL,NULL,0
23,"肾髓质囊性病","肾内科、泌尿外科","海绵肾","水肿,慢性肾功能不全,甲状旁腺功能亢,脓尿,泌尿系感染,多尿,肾间质纤维化,多饮,继发感染","腹部","暂无","囊肿,低钠血症,肾髓质坏死,囊性肾病","肾髓质囊性病又名髓质海绵肾、肾小管特发性扩张、非尿毒症性髓质囊性病等。多为双侧发病。病理特征是乳头部集合管扩张形成肾髓质无数大小不等的囊腔。大体标本外观似海绵，多数小囊与肾小管或肾盂相通。由于尿液滞留在扩张的小管内，可继发感染、出血及微小结石形成。肾髓质囊",NULL,NULL,0
24,"轮状病毒性肠炎","儿内科","轮状病毒性胃肠炎","腹泻,腹痛,腹胀,低热,水样便,腹部压痛,恶心,肠鸣,乏力","腹部","暂无","肠道病毒所致各,急性胃肠炎,腹痛,腹胀,腹泻","轮状病毒肠炎是由轮状病毒所致的急性消化道传染病。病原体主要通过消化道传播，主要发生在婴幼儿，常由A组轮状病毒引起，发病高峰在秋季，故名婴儿秋季腹泻。B组轮状病毒可引起成人腹泻。",NULL,NULL,113
25,"胆管癌","肝胆外科","胆管细胞癌","腹泻,腹痛,腹水,纳差,腹部不适,胆汁排泄受阻,恶心,胆囊增大,乏力,发热伴关节肿痛","腹部","暂无","腹水,胆道华支睾吸虫,胆总管结石,原发性硬化性胆,腹痛,肝内胆管结石,壶腹周围癌,胆结石,皮肤瘙痒,胆囊癌","胆管癌是指源于肝外胆管包括肝门区至胆总管下端的胆管的恶性肿瘤。其病因可能与胆管结石、原发性硬化性胆管炎等疾病有关。临床可采用手术治疗、放射治疗、化学治疗等方法，但预后较差。",NULL,NULL,1013
26,"工业中毒所致的精神障碍","神经内科","no","腹泻,低血压,腹痛,鼻出血,脸红,谵妄,紧张,低热,白细胞增多,被害妄想","腹部","暂无","呼吸系统疾病伴,鼻出血,高血压病伴发的,痴呆,便秘","在工业生产中，常会使用重金属、高分子化合物及有毒气体等，人体接触这些有毒物质后，毒物会通过胃肠道、呼吸道及皮肤、黏膜等途径进入人体，直接或间接作用于大脑，使之功能发生紊乱而出现精神症状。改善劳动环境、加强劳动保护及防止工业污染是预防工业中毒的关键，一旦发现",NULL,NULL,0
27,"先天性肥厚性幽门狭窄","普外科","先天肥大性幽门狭窄","脱水,失水,精神萎靡,幽门肿块,幽门狭窄,胃扩张,溢乳,呼吸浅慢,拒食,消瘦","腹部","暂无","脱水,先天性胆道闭锁,黄疸,十二指肠先天性,胃隔膜,新生儿先天性胆,小儿呕吐,先天性十二指肠","先天性肥厚性幽门狭窄是由于幽门肌肥厚和水肿引起的输出道梗阻。本病多见于婴儿出生后头6个月内，本病病因尚不清楚。有家族集中的倾向。在成人发生幽门狭窄的患者，其儿童时期也有婴儿形式的肥厚性幽门狭窄，从而显示了遗传因素。",NULL,NULL,0
28,"溃疡性结肠炎","消化内科","慢性非特异性溃疡性结肠炎","no","腹部","暂无","腹泻,消化不良,便秘,腹痛,高热,上腹不适,粪便黑色并带有,恶心,消瘦,衰弱","本病是一种病因不明的，以直肠和结肠的浅表性、非特异性炎症病变为主的肠道疾病，主要累及直肠和乙状结肠，也可侵及其他部分或全部结肠;病变严重者，其中少数可出现10cm以内的“反流性回肠炎”。临床症状以粘液脓血便、腹痛、腹泻或里急后重为主;急性危重病例，有全身",NULL,NULL,1348
29,"小儿再发性呕吐","小儿内科","小儿周期性呕吐","脱水,腹痛,嗜睡,精神萎靡,乏力","腹部","暂无","脱水,苯丙酮尿症,半乳糖血症,腹痛,低钾血症,婴幼儿胃食管反,头痛","再发性呕吐又名周期性呕吐，是一种顽固性呕吐。",NULL,NULL,0
30,"胰岛素瘤","肝胆外科","内源性高胰岛素血症","腹泻,昏迷,心悸,皮肤苍白,肝脏肿大,恶心,心动过速,步态不稳,冷汗,复视","腹部","暂无","胰腺脓肿,急性胆源性胰腺,腹痛,低血糖症,胰腺肉瘤,胰多肽瘤,胰腺脑病综合征,胰腺假性囊肿,肾上腺皮质功能,腹泻","胰岛素瘤指因胰岛β细胞瘤或β细胞增生造成胰岛素分泌过多，进而引起低血糖症；其胰岛素分泌不受低血糖抑制。低血糖症是一组由多种病因引起的以血糖浓度低为特点的综合征，一般以静脉血浆葡萄糖浓度葡萄糖氧化酶法测定<2.8mmol/L50mg/dl作为低",NULL,NULL,0
31,"小儿X-连锁淋巴组织增生性疾病","儿内科","小儿Duncun病","疱疹,球蛋白异常,肉芽肿,钙化","腹部","暂无","淋巴瘤样肉芽肿,联合免疫缺陷病,肝功能衰竭,传染性单核细胞,中枢神经系统淋,再生障碍性贫血,心肌炎,动脉瘤,贫血","X-连锁淋巴组织增生性疾病X-linkedlymphproliferativedisease，XLP为一种T、B细胞均发生缺陷的联合免疫缺陷病，Epstein-Barr病毒感染可加重该病的病程。",NULL,NULL,0
32,"妊娠合并肺结核","产科、感染科","no","低热,盗汗,胸膜增厚粘连,消瘦,乏力","腹部","暂无","念珠菌病,细菌性肺炎,肺念珠菌病,死胎,产褥感染,支气管扩张,肺结核,肺炎","妊娠合并肺结核的发生率为5%～7%。研究表明，非活动性肺结核对妇女妊娠经过和胎儿发育并无多大影响，且妊娠对肺结核的病情也无明显影响。但是，病变范围较大的活动性肺结核，如血型播散型肺结核和浸润型肺结核，易发生流产和早产。妊娠分娩会加重病情，甚至导致产妇死亡。",NULL,NULL,9
33,"继发性腹膜炎","普外科","no","急腹症,腹痛,肠穿孔,发绀,肝浊音界缩小或,腹肌紧张,恶心,肠胀气,肠麻痹,肠鸣","腹部","暂无","上消化道出血,腹膜后血肿,腹膜炎,肠套叠,腹腔脓肿,原发性腹膜炎,代谢性酸中毒,结肠粪性穿孔","继发性腹膜炎是腹腔内脏器的炎症、穿孔、外伤、血运障碍以及医源性创伤等所引致的腹膜急性化脓性炎症，是严重的腹膜腔感染，如不早期诊断和正确的治疗，病死率极高。外科临床工作中所遇到的一般均为继发性腹膜炎。",NULL,NULL,0
34,"分流性高胆红素血症综合征","消化内科","Israel综合征","腹泻,消化不良,腹胀,黄疸,脾肿大,尿胆原排泻增加,恶心","腹部","暂无","消化不良,腹胀,黄疸,腹泻,功能性消化不良,胆囊炎,肝硬化","分流性高胆红素血症综合征即Israel综合征。系由骨髓红细胞或前体产生过多的胆红素，或直接由亚铁红素或四吡咯前体破坏和生成所致。",NULL,NULL,0
35,"新生儿获得性免疫缺陷综合征","新生儿科","新生儿艾滋病","腹泻,黄疸,疱疹,肝脾肿大,消瘦,淋巴结肿大","腹部","暂无","黄疸,先天性胸腺发育,选择性IgA缺,小儿X-连锁严,重症联合免疫缺,迟发性低丙球血,腹泻","人类免疫缺陷病毒感染艾滋病又称获得性免疫缺陷综合征acquiredimmunodeficiencysyndrome，AIDS，是由人类免疫缺陷病毒humanimmunodeficiencyvirus，HIV引起的严重传染病，主",NULL,NULL,0
36,"蛔虫病","消化内科","no","腹泻,腹痛,腹胀,肠穿孔,高热,嗳气,突发性右上腹绞,食欲不振,脐周疼痛,蛔虫感染","腹部","暂无","阑尾寄生虫病,单纯性肺嗜酸粒,急性出血性坏死,肠道蛔虫,鞭虫病,钩虫病,腹膜炎,胆道蛔虫病,急性胰腺炎,鼻出血","似蚓蛔线虫简称蛔虫，是人体内最常见的寄生虫之一。成虫寄生于小肠，可引起蛔虫病。此外，犬弓首线虫简称犬蛔虫是犬类常见的肠道寄生虫，其幼虫能在人体内移行，引起内脏幼虫移行症。",NULL,NULL,286
37,"镇痛剂肾病","肾内科","无痛性肾病","头晕,心悸,氮质血症,面部皮肤皱纹增,食欲减退,夜尿增多,多尿,胸闷","腰部","暂无","血尿,急性肾盂肾炎,头晕,梗阻性肾病,糖尿病肾病,头痛","镇痛剂肾病analgesicnephropathy，AN是由于长期滥用镇痛药物，其累积量超过1～2kg时引起的慢性小管间质损害和或肾乳头坏死，此种疾病被称为镇痛剂肾病或镇痛剂所致慢性小管间质性肾炎。",NULL,NULL,0
38,"血吸虫肠病","消化内科、感染科","no","腹泻,水肿,便血,便秘,腹痛,腹水,痢疾样大便,里急后重,咳血,营养不良性水肿","腹部","暂无","便血,腹水,阿米巴肝脓肿,结核性腹膜炎,咳嗽,腹膜炎,腹痛,伤寒,肝脓肿,慢性腹泻","血吸虫病是由血吸虫所引起的一种疾病。现在已知寄生在人体的血吸虫有5种：日本血吸虫、埃及血吸虫S.haematobium、曼氏血吸虫S.mansoni、间插血吸虫S.intercalatum及湄公血吸",NULL,NULL,8
39,"石膏综合征","消化内科","no","脱水,腹胀,恶心与呕吐,恶心","腹部","暂无","霍乱样综合征,脱水,幽门梗阻,肠系膜上动脉综,霍乱,腹胀,急性胃炎,休克","1971年Evarts报告未用石膏治疗脊柱侧弯或后突畸形的患者亦可发生恶心、反复呕吐症状。他认为石膏综合征是误称。由于这类治疗方法已广泛应用，因此本征并不少见。",NULL,NULL,82
40,"小儿脾大","儿外科","小儿巨脾","脾功能亢进,心力衰竭,肝病容,组织细胞增生,门脉高压,反复感染","腹部","暂无","小儿再生障碍性,脾功能亢进,溶血性贫血,小儿特发性血小,小儿白血病","脾脏增大是婴儿及儿童时期的常见体征，一般见于全身性疾患，如感染、血液病、代谢病、肿瘤等，仅限于脾脏本身的疾病则少见。急性感染时，常于数天内即见脾脏充血，可在左肋缘下触及;慢性感染所致的脾大则主要由于增生性浸润。应当指出，在多数早产儿及30%的足月儿，刚出生",NULL,NULL,0
41,"轮状病毒所致胃肠炎","消化内科","no","腹泻,腹痛,腹胀,低热,稀便,恶心","腹部","暂无","脱水,腺病毒性肠炎,非01霍乱弧菌,大肠埃希杆菌性,急性出血性坏死,急性胃肠炎,腹痛,腹胀,腹泻","轮状病毒胃肠炎是病毒性胃肠炎中最常见的一种。普通轮状病毒主要侵犯婴幼儿，而成人腹泻轮状病毒则可引起青壮年胃肠炎的暴发流行。",NULL,NULL,0
42,"斑疹伤寒立克次体肺炎","传染科","斑疹伤寒立克次氏体肺炎","腹痛,腹胀,干咳,高热,发绀,斑疹,恶心,寒战,反应迟钝","腹部","暂无","地方性斑疹伤寒,流行性斑疹伤寒,钩端螺旋体病,腹痛,伤寒,大叶性肺炎,腹胀,恙虫病,流行性感冒,便秘","斑疹伤寒分为流行性斑疹伤寒和地方性斑疹伤寒。前者系由普氏立克次体通过人虱传播，并发支气管肺炎，仅次于Q热肺炎;后者也称鼠型斑疹伤寒是由莫氏立克次体经鼠蚤传播的急性传染病，其临床特征与流行性斑疹伤寒相似，但病情较轻，并发肺炎者较少。",NULL,NULL,0
43,"慢性胰腺炎","消化内科","胰胀","腹泻,上消化道出血,腹痛,腹胀,腹水,静脉血栓,胰腺纤维化,糖尿,恶心,无力","腹部","暂无","腹水,胆囊切除术后综,十二指肠憩室,胰腺损伤,腹痛,胆管癌,腹胀,胰腺癌,胰腺囊腺癌,环状胰腺","慢性胰腺炎是由于各种因素造成的胰腺组织和功能的持续性、永久性损害。胰腺出现不同程度的腺泡萎缩、胰管变形、纤维化及钙化，并出现不同程度的胰腺外分泌和内分泌功能障碍，临床上主要表现为腹痛、腹泻或脂肪泻，消瘦及营养不良",NULL,NULL,391
44,"小儿波-杰综合征","消化内科","小儿Peutz","腹痛,头晕,黑斑,色素斑","腹部","暂无","急性阑尾炎,头晕,肠套叠,腹痛,胸膜炎,贫血","波-杰综合征即皮肤黏膜色素斑-胃肠道多发性息肉综合征Peutz-Jegher指胃肠道有散在息肉，同时口周及手足有多发黑色素痣。此病少见，男女发病率相等，约有一半病例有家族史。",NULL,NULL,0
45,"小儿汞中毒","急诊科","小儿水银中毒","腹泻,惊厥,心力衰竭,肾损害,呕吐,烦躁不安,胃肠道症状,里急后重,腹痛伴恶心、呕,呼吸困难","腹部","暂无","血尿,蛋白尿,腹膜炎,流行性乙型脑炎,小儿细菌性痢疾,小儿食物中毒,小儿中毒型痢疾,小儿急性肾功能,腹泻,心肌炎","小儿汞中毒主要由于误服或服用过量含汞药物所致。汞是银白色液态金属，俗称水银，有流动性，在常温下具有易蒸发的特性。汞及其化合物均有毒性，用量过大或持续应用时间过长均可发生汞中毒。金属汞一般不作为药物使用，仅在牙科中作为补牙的原材料，而且是以汞与其他金",NULL,NULL,0
46,"网膜原发性节段性梗死","消化内科","自发性大网膜梗死","急腹症,腹痛,腹水,紧张,血性腹水,下腹痛,腹膜刺激征,恶心,感觉过敏","腹部","暂无","腹水,急性胆囊炎,急性阑尾炎,急腹症,肠扭转,腹痛,腹部大血管损伤,网膜炎","网膜原发性节段性梗死较为罕见，梗死的发生与创伤、扭转、心血管病、粘连或其他腹内病理情况无关，是原因不明的网膜急性血管病，还有自发性大网膜梗死或大网膜出血性梗死之称。",NULL,NULL,0
47,"肝炎后综合征","消化内科","no","失眠,头晕,面容呈灰色,疲劳,食欲不振,胸闷,心慌,乏力,头胀,多梦","腹部","暂无","庚型病毒性肝炎,戊型病毒性肝炎,肝炎双重感染,丁型病毒性肝炎,头晕,病毒性肝炎,丙型病毒性肝炎,失眠","肝炎后综合症Post-Hepatiti，系由病毒性肝炎愈合后所出现的以植物神经紊乱为特点的综合病症，也称恢复期肝炎综合征。",NULL,NULL,1
48,"胃出血","消化科","上消化道出血","呕血,失血过多后贫血,黑便,反复呕血,恶心与呕吐,恶心,心慌,血压下降,面色苍白","腹部","暂无","急性胃扩张,晕厥,急性胃炎,胃癌","胃出血俗称上消化道出血，40%以上是由胃、十二指肠溃疡导致，工作过度劳累、日常饮食不规律、情绪异常紧张等有消化道病史的人群容易发病；其次是急性出血性胃炎导致的胃出血，这两种原因导致的胃出血大部分经过正规治疗后都能得到有效救治。另外是肝硬化导致的胃出血，肝",NULL,NULL,1138
49,"腹主动脉血栓形成综合征","心血管内科","主动脉分叉闭塞综合征","肢体发凉,疲劳,皮肤苍白,外阴下坠感,血运障碍,稀便","腹部","暂无","腹主动脉腔静脉,腹主动脉缩窄,感染性腹主动脉,腹主动脉动脉瘤,腹主动脉瘤,血栓形成,动脉瘤,休克","腹主动脉血栓形成综合征，又称主动脉分叉闭塞综合征，末端主动脉血栓形成综合征，渐进性主动脉末端部分血栓形成综合征，终末主动脉髂动脉闭锁综合征，慢性腹主动脉髂动脉阻塞，孤立性腹主动脉髂动脉病。",NULL,NULL,1
50,"腹主动脉腔静脉瘘","心血管外科","先天性冠状动脉瘘","低血压,肺淤血,无尿,少尿,腹部血管杂音,下肢水肿,急性下肢缺血","腹部","暂无","老年人腹主动脉,腹主动脉缩窄,腹主动脉动脉瘤,腹主动脉瘤,低血压,静脉曲张","腹主动脉与下腔静脉之间出现直接的血流沟通即为腹主动脉腔静脉瘘。1831年，JamesSyne首次报道了腹主动脉瘤破入下腔静脉引起主动脉-下腔静脉瘘，是腹主动脉腔静脉瘘中最常见原因。发生部位多在主动脉远端或位于髂总静脉汇合部稍上方。",NULL,NULL,0
51,"脾破裂","普外科","no","腹痛,腹腔出血,腹痛伴休克,腹肌紧张,腹部压痛,牵涉痛,内出血,创伤","腹部","暂无","肝外胆管损伤,肝损伤,腹痛,肾损伤,器械性食管损伤,腹部大血管损伤,膀胱损伤,休克","脾脏是一个血供丰富而质脆的实质性器官，被与其包膜相连的诸韧带固定在左上腹的后方，有下胸壁、腹壁和膈肌的保护。外伤暴力很容易使其破裂引起内出血。脾是腹部内脏中最容易受损伤的器官，发生率几乎占各种腹部损伤的20%～40%,已有病理改变门脉高压症、血吸虫病、",NULL,NULL,218
52,"门静脉高压","肝病科","门静脉高血压","便血,腹胀,腹水,白细胞减少,低蛋白血症,充血,嗳气,食欲不振,黑便,肝功能不全","腹部","暂无","便血,布卡综合症,霍奇金病,消化性溃疡,食管癌,肝小静脉闭塞症,低血压,胃癌,肝硬化","门静脉高压是一组由门静脉压力持久增高引起的症候群。绝大多数病人由肝硬化引起，少数病人继发于门静脉主干或肝静脉梗阻以及一些原因不明的因素。",NULL,NULL,0
53,"老年人急性胰腺炎","消化内科、肝胆外科","老年急性胰腺炎","腹膜炎,腹痛,腹胀,黄疸,高热,血性腹水,腹膜刺激征,恶心,肠鸣,血压下降","腹部","暂无","腹水,老年人急腹症,急性胆囊炎,胆石症,肺不张,腹膜炎,急性胰腺炎,心肌梗死,心律失常,休克","老年急性胰腺炎是老年人胰腺自身消化所引起的胰腺急性炎症性病变。是老年人急腹症的一个重要原因，占5%～7%。老年急性胰腺炎发病较年轻人少。但一旦发病往往因应激功能差且并发症较多，致使病情发展较快，可早期出",NULL,NULL,0
